Frame No., x, y
1,259,24
2,251,24
3,240,26
4,231,26
5,220,27
6,211,27
7,203,27
8,193,33
9,186,37
10,177,42
11,168,46
12,156,53
13,153,59
14,143,65
15,132,69
16,122,78
17,115,86
18,104,98
19,98,105
20,91,117
21,82,115
22,82,115
23,84,118
24,85,114
25,85,111
26,85,111
27,88,108
28,88,108
29,93,111
30,93,111
31,93,111
32,98,113
33,100,114
34,100,114
35,100,114
36,100,114
37,103,114
38,103,114
39,103,114
40,107,114
41,107,114
42,107,114
43,113,114
44,113,114
45,113,114
46,118,114
47,118,114
48,118,114
49,118,114
50,121,114
51,121,114
52,121,114
53,121,114
54,124,114
55,124,114
56,124,114
57,124,114
58,124,114
59,127,115
60,127,115
61,127,115
62,127,115
63,127,115
64,127,115
65,127,115
66,131,114
67,131,114
68,131,114
69,131,114
70,131,114
71,131,114
72,131,114
73,131,114
74,131,114
75,131,114
76,131,114
77,131,114
78,131,114
79,131,114
80,131,114
81,131,114
82,131,114
83,131,114
84,131,114
85,131,114
86,131,114
87,131,114
88,131,114
89,131,114
90,131,114
91,131,114
92,131,114
93,131,114
94,131,114
95,131,114
96,131,114
97,131,114
98,131,114
99,131,114
100,131,114
101,131,114
102,131,114
103,131,114
104,125,114
105,118,114
106,104,117
107,96,120
108,84,120
109,73,126
110,66,129
111,53,136
112,44,142
113,32,142
114,22,144
115,10,144
116,4,147
117, -, -
118, -, -
119, -, -
120, -, -
121, -, -
122, -, -
123, -, -
124, -, -
125, -, -
126, -, -
127, -, -
128, -, -
129, -, -
130, -, -
131, -, -
132, -, -
133, -, -
134, -, -
135, -, -
136, -, -
137, -, -
138, -, -
139, -, -
140, -, -
141, -, -
142, -, -
143, -, -
144, -, -
145, -, -
146, -, -
147, -, -
148, -, -
149, -, -
150, -, -
151, -, -
152, -, -
153, -, -
154, -, -
155, -, -
156, -, -
157, -, -
158, -, -
159, -, -
160, -, -
161, -, -
162, -, -
163, -, -
164, -, -
165, -, -
166, -, -
167, -, -
168, -, -
169, -, -
170, -, -
171, -, -
172, -, -
173, -, -
174, -, -
175, -, -
176, -, -
177, -, -
178, -, -
179, -, -
180, -, -
181, -, -
182, -, -
183, -, -
184, -, -
185, -, -
186, -, -
187, -, -
188, -, -
189, -, -
190, -, -
191, -, -
192, -, -
193, -, -
194, -, -
195, -, -
196, -, -
197, -, -
198, -, -
199, -, -
200, -, -
201, -, -
202, -, -
203, -, -
204, -, -
205, -, -
206, -, -
207, -, -
208, -, -
209, -, -
210, -, -
211, -, -
212, -, -
213, -, -
214, -, -
215, -, -
216, -, -
217, -, -
218, -, -
219, -, -
220, -, -
221, -, -
222, -, -
223, -, -
224, -, -
225, -, -
226, -, -
227, -, -
228, -, -
229, -, -
230, -, -
231, -, -
232, -, -
233, -, -
234, -, -
235, -, -
236, -, -
237, -, -
238, -, -
239, -, -
240, -, -
241, -, -
242, -, -
243, -, -
244, -, -
245, -, -
246, -, -
247, -, -
248, -, -
249, -, -
250, -, -
251, -, -
252, -, -
253, -, -
254, -, -
255, -, -
256, -, -
257, -, -
258, -, -
259, -, -
260, -, -
261, -, -
262, -, -
263, -, -
264, -, -
265, -, -
266, -, -
267, -, -
268, -, -
269, -, -
270, -, -
271, -, -
272, -, -
273, -, -
274, -, -
275, -, -
276, -, -
277, -, -
278, -, -
279, -, -
280, -, -
281, -, -
282, -, -
283, -, -
284, -, -
285, -, -
286, -, -
287, -, -
288, -, -
289, -, -
290, -, -
291, -, -
292, -, -
293, -, -
294, -, -
295, -, -
296, -, -
297, -, -
298, -, -
299, -, -
300, -, -
301, -, -
302, -, -
303, -, -
304, -, -
305, -, -
306, -, -
307, -, -
308, -, -
309, -, -
310, -, -
311, -, -
312, -, -
313, -, -
314, -, -
315, -, -
316, -, -
317, -, -
318, -, -
319, -, -
320, -, -
321, -, -
322, -, -
323, -, -
324, -, -
325, -, -
326, -, -
327, -, -
328, -, -
329, -, -
330, -, -
331, -, -
332, -, -
333, -, -
334, -, -
335, -, -
336, -, -
337, -, -
338, -, -
339, -, -
340, -, -
341, -, -
342, -, -
343, -, -
344, -, -
345,5,782
346,20,785
347,33,785
348,51,784
349,70,787
350,90,788
351,107,787
352,119,788
353,135,791
354,146,791
355,168,791
356,178,791
357,196,791
358,209,792
359,225,795
360,237,795
361,252,795
362,267,794
363,285,797
364,292,798
365,307,800
366,320,797
367,335,800
368,352,803
369,358,803
370,375,803
371,388,806
372,401,806
373,409,806
374,423,806
375,434,807
376,446,808
377,457,808
378,469,810
379,481,813
380,491,813
381,525,798
382,596,774
383,657,743
384,719,723
385,776,701
386,843,678
387,897,655
388,957,637
389,1017,617
390,1075,598
391,1132,582
392,1190,565
393,1242,552
394,1293,537
395,1348,523
396,1401,511
397,1456,500
398,1509,489
399,1559,476
400,1615,469
401,1664,462
402,1714,452
403,1767,450
404,1821,439
405,1866,436
406,1920,426
407, -, -
408, -, -
409, -, -
410, -, -
411, -, -
412, -, -
413, -, -
414, -, -
415, -, -
416, -, -
417, -, -
418, -, -
419, -, -
420, -, -
421, -, -
422, -, -
423, -, -
424, -, -
425, -, -
426, -, -
427, -, -
428, -, -
429, -, -
430, -, -
431, -, -
432, -, -
433, -, -
434, -, -
435, -, -
436, -, -
437, -, -
438, -, -
439, -, -
440, -, -
441, -, -
442, -, -
443, -, -
444, -, -
445, -, -
446, -, -
447, -, -
448, -, -
449, -, -
450, -, -
451, -, -
452, -, -
453, -, -
454, -, -
455, -, -
456, -, -
457, -, -
458, -, -
459, -, -
460, -, -
461, -, -
462, -, -
463, -, -
464, -, -
465, -, -
466, -, -
467, -, -
468, -, -
469, -, -
470, -, -
471, -, -
472, -, -
473, -, -
474, -, -
475, -, -
476, -, -
477, -, -
478, -, -
479, -, -
480, -, -
481, -, -
482, -, -
