Frame No., x, y
1, -, -
2, -, -
3, -, -
4, -, -
5, -, -
6, -, -
7, -, -
8, -, -
9, -, -
10, -, -
11, -, -
12, -, -
13, -, -
14, -, -
15, -, -
16, -, -
17, -, -
18, -, -
19, -, -
20, -, -
21, -, -
22, -, -
23, -, -
24, -, -
25, -, -
26, -, -
27, -, -
28, -, -
29, -, -
30, -, -
31, -, -
32, -, -
33, -, -
34, -, -
35, -, -
36, -, -
37, -, -
38, -, -
39, -, -
40, -, -
41, -, -
42, -, -
43, -, -
44, -, -
45, -, -
46, -, -
47, -, -
48, -, -
49, -, -
50, -, -
51, -, -
52, -, -
53, -, -
54, -, -
55, -, -
56, -, -
57, -, -
58, -, -
59, -, -
60, -, -
61, -, -
62, -, -
63, -, -
64, -, -
65, -, -
66, -, -
67, -, -
68, -, -
69, -, -
70, -, -
71, -, -
72, -, -
73, -, -
74, -, -
75, -, -
76, -, -
77, -, -
78, -, -
79, -, -
80, -, -
81, -, -
82, -, -
83, -, -
84, -, -
85, -, -
86, -, -
87, -, -
88, -, -
89, -, -
90, -, -
91, -, -
92, -, -
93, -, -
94, -, -
95, -, -
96, -, -
97, -, -
98, -, -
99, -, -
100, -, -
101, -, -
102, -, -
103, -, -
104, -, -
105, -, -
106, -, -
107, -, -
108, -, -
109, -, -
110, -, -
111, -, -
112, -, -
113, -, -
114, -, -
115, -, -
116,10,785
117,26,779
118,44,777
119,59,771
120,72,761
121,88,753
122,103,746
123,115,736
124,131,733
125,143,729
126,158,724
127,171,717
128,180,711
129,194,704
130,206,700
131,217,697
132,230,691
133,237,687
134,248,684
135,256,678
136,270,675
137, -, -
138, -, -
139, -, -
140, -, -
141, -, -
142, -, -
143, -, -
144, -, -
145, -, -
146, -, -
147, -, -
148, -, -
149, -, -
150, -, -
151, -, -
152, -, -
153, -, -
154, -, -
155, -, -
156, -, -
157, -, -
158, -, -
159, -, -
160,307,665
161,311,665
162,310,666
163,310,666
164,304,663
165,304,663
166,304,663
167,304,663
168,304,663
169,304,663
170,304,663
171,304,663
172,304,663
173,304,663
174,304,663
175,304,663
176,304,663
177,304,663
178,308,663
179,319,659
180,327,652
181,336,648
182,350,645
183,358,640
184,366,637
185,376,634
186,382,630
187,391,633
188,398,626
189,406,626
190,415,617
191,419,619
192,425,616
193,432,613
194,440,610
195,443,610
196,451,607
197,456,603
198,465,600
199,466,598
200,469,597
201,469,592
202,466,588
203,468,585
204,469,584
205,469,581
206,466,576
207,468,574
208,468,572
209, -, -
210, -, -
211, -, -
212, -, -
213, -, -
214, -, -
215, -, -
216, -, -
217, -, -
218, -, -
219, -, -
220, -, -
221, -, -
222, -, -
223, -, -
224, -, -
225, -, -
226, -, -
227, -, -
228, -, -
229,493,524
230,494,520
231,493,518
232,493,514
233,494,517
234,497,520
235,502,501
236,509,484
237,515,465
238,519,450
239,527,436
240,531,426
241,537,411
242,537,400
243,542,392
244,544,379
245,544,372
246,547,362
247,547,359
248,547,353
249,549,349
250,549,337
251,552,330
252,553,318
253,552,311
254,549,301
255,552,300
256,552,295
257,549,288
258,547,281
259,546,272
260,546,263
261,544,256
262,546,252
263,542,247
264,542,246
265,542,240
266,542,234
267,537,230
268,536,221
269,536,217
270,536,214
271,531,214
272,525,211
273,521,208
274,516,208
275,513,204
276,511,204
277,506,204
278,502,207
279,497,207
280,493,208
281,490,210
282,487,208
283,480,202
284,477,207
285,472,202
286,468,205
287,465,205
288,462,205
289,460,204
290,454,200
291,451,202
292,447,202
293,443,202
294,441,204
295,434,200
296,431,201
297,420,198
298,407,197
299,398,195
